candidate,state,debate,rank
Jeb Bush,AL,1,4
Jeb Bush,AL,2,9
Jeb Bush,AL,3,14
Ben Carson,AL,1,14
Ben Carson,AL,2,12
Ben Carson,AL,3,13
Chris Christie,AL,1,11
Chris Christie,AL,2,4
Chris Christie,AL,3,11
Ted Cruz,AL,1,6
Ted Cruz,AL,2,2
Ted Cruz,AL,3,9
Carly Fiorina,AL,1,2
Carly Fiorina,AL,2,5
Carly Fiorina,AL,3,7
Jim Gilmore,AL,1,3
Jim Gilmore,AL,2,14
Jim Gilmore,AL,3,11
Lindsey Graham,AL,1,1
Lindsey Graham,AL,2,7
Lindsey Graham,AL,3,3
Mike Huckabee,AL,1,8
Mike Huckabee,AL,2,15
Mike Huckabee,AL,3,9
Bobby Jindal,AL,1,15
Bobby Jindal,AL,2,3
Bobby Jindal,AL,3,10
John Kasich,AL,1,10
John Kasich,AL,2,1
John Kasich,AL,3,9
George Pataki,AL,1,5
George Pataki,AL,2,13
George Pataki,AL,3,1
Rand Paul,AL,1,12
Rand Paul,AL,2,10
Rand Paul,AL,3,13
Marco Rubio,AL,1,7
Marco Rubio,AL,2,11
Marco Rubio,AL,3,12
Rick Santorum,AL,1,9
Rick Santorum,AL,2,8
Rick Santorum,AL,3,10
Donald Trump,AL,1,13
Donald Trump,AL,2,6
Donald Trump,AL,3,3
Jeb Bush,AK,1,11
Jeb Bush,AK,2,7
Jeb Bush,AK,3,3
Ben Carson,AK,1,12
Ben Carson,AK,2,9
Ben Carson,AK,3,2
Chris Christie,AK,1,12
Chris Christie,AK,2,8
Chris Christie,AK,3,2
Ted Cruz,AK,1,7
Ted Cruz,AK,2,3
Ted Cruz,AK,3,12
Carly Fiorina,AK,1,2
Carly Fiorina,AK,2,4
Carly Fiorina,AK,3,14
Jim Gilmore,AK,1,3
Jim Gilmore,AK,2,13
Jim Gilmore,AK,3,3
Lindsey Graham,AK,1,7
Lindsey Graham,AK,2,8
Lindsey Graham,AK,3,13
Mike Huckabee,AK,1,6
Mike Huckabee,AK,2,6
Mike Huckabee,AK,3,5
Bobby Jindal,AK,1,2
Bobby Jindal,AK,2,11
Bobby Jindal,AK,3,1
John Kasich,AK,1,6
John Kasich,AK,2,1
John Kasich,AK,3,4
George Pataki,AK,1,15
George Pataki,AK,2,4
George Pataki,AK,3,14
Rand Paul,AK,1,11
Rand Paul,AK,2,12
Rand Paul,AK,3,10
Marco Rubio,AK,1,7
Marco Rubio,AK,2,11
Marco Rubio,AK,3,2
Rick Santorum,AK,1,15
Rick Santorum,AK,2,3
Rick Santorum,AK,3,7
Donald Trump,AK,1,10
Donald Trump,AK,2,12
Donald Trump,AK,3,7
Jeb Bush,AZ,1,15
Jeb Bush,AZ,2,10
Jeb Bush,AZ,3,8
Ben Carson,AZ,1,13
Ben Carson,AZ,2,7
Ben Carson,AZ,3,3
Chris Christie,AZ,1,14
Chris Christie,AZ,2,5
Chris Christie,AZ,3,4
Ted Cruz,AZ,1,9
Ted Cruz,AZ,2,8
Ted Cruz,AZ,3,11
Carly Fiorina,AZ,1,2
Carly Fiorina,AZ,2,3
Carly Fiorina,AZ,3,8
Jim Gilmore,AZ,1,13
Jim Gilmore,AZ,2,9
Jim Gilmore,AZ,3,9
Lindsey Graham,AZ,1,15
Lindsey Graham,AZ,2,12
Lindsey Graham,AZ,3,5
Mike Huckabee,AZ,1,3
Mike Huckabee,AZ,2,7
Mike Huckabee,AZ,3,9
Bobby Jindal,AZ,1,4
Bobby Jindal,AZ,2,2
Bobby Jindal,AZ,3,8
John Kasich,AZ,1,13
John Kasich,AZ,2,1
John Kasich,AZ,3,11
George Pataki,AZ,1,10
George Pataki,AZ,2,13
George Pataki,AZ,3,15
Rand Paul,AZ,1,10
Rand Paul,AZ,2,3
Rand Paul,AZ,3,2
Marco Rubio,AZ,1,12
Marco Rubio,AZ,2,7
Marco Rubio,AZ,3,9
Rick Santorum,AZ,1,13
Rick Santorum,AZ,2,10
Rick Santorum,AZ,3,14
Donald Trump,AZ,1,13
Donald Trump,AZ,2,12
Donald Trump,AZ,3,10
Jeb Bush,AR,1,7
Jeb Bush,AR,2,1
Jeb Bush,AR,3,9
Ben Carson,AR,1,7
Ben Carson,AR,2,8
Ben Carson,AR,3,11
Chris Christie,AR,1,7
Chris Christie,AR,2,14
Chris Christie,AR,3,15
Ted Cruz,AR,1,6
Ted Cruz,AR,2,8
Ted Cruz,AR,3,15
Carly Fiorina,AR,1,5
Carly Fiorina,AR,2,1
Carly Fiorina,AR,3,1
Jim Gilmore,AR,1,6
Jim Gilmore,AR,2,9
Jim Gilmore,AR,3,9
Lindsey Graham,AR,1,11
Lindsey Graham,AR,2,13
Lindsey Graham,AR,3,10
Mike Huckabee,AR,1,8
Mike Huckabee,AR,2,10
Mike Huckabee,AR,3,4
Bobby Jindal,AR,1,3
Bobby Jindal,AR,2,13
Bobby Jindal,AR,3,11
John Kasich,AR,1,13
John Kasich,AR,2,1
John Kasich,AR,3,5
George Pataki,AR,1,11
George Pataki,AR,2,11
George Pataki,AR,3,3
Rand Paul,AR,1,2
Rand Paul,AR,2,2
Rand Paul,AR,3,1
Marco Rubio,AR,1,1
Marco Rubio,AR,2,3
Marco Rubio,AR,3,3
Rick Santorum,AR,1,2
Rick Santorum,AR,2,2
Rick Santorum,AR,3,10
Donald Trump,AR,1,2
Donald Trump,AR,2,2
Donald Trump,AR,3,5
Jeb Bush,CA,1,10
Jeb Bush,CA,2,11
Jeb Bush,CA,3,9
Ben Carson,CA,1,7
Ben Carson,CA,2,10
Ben Carson,CA,3,7
Chris Christie,CA,1,9
Chris Christie,CA,2,5
Chris Christie,CA,3,7
Ted Cruz,CA,1,2
Ted Cruz,CA,2,5
Ted Cruz,CA,3,11
Carly Fiorina,CA,1,5
Carly Fiorina,CA,2,13
Carly Fiorina,CA,3,1
Jim Gilmore,CA,1,2
Jim Gilmore,CA,2,8
Jim Gilmore,CA,3,4
Lindsey Graham,CA,1,4
Lindsey Graham,CA,2,3
Lindsey Graham,CA,3,4
Mike Huckabee,CA,1,13
Mike Huckabee,CA,2,11
Mike Huckabee,CA,3,11
Bobby Jindal,CA,1,12
Bobby Jindal,CA,2,12
Bobby Jindal,CA,3,15
John Kasich,CA,1,6
John Kasich,CA,2,1
John Kasich,CA,3,13
George Pataki,CA,1,15
George Pataki,CA,2,10
George Pataki,CA,3,11
Rand Paul,CA,1,13
Rand Paul,CA,2,6
Rand Paul,CA,3,3
Marco Rubio,CA,1,1
Marco Rubio,CA,2,10
Marco Rubio,CA,3,1
Rick Santorum,CA,1,6
Rick Santorum,CA,2,11
Rick Santorum,CA,3,3
Donald Trump,CA,1,12
Donald Trump,CA,2,5
Donald Trump,CA,3,10
Jeb Bush,CO,1,8
Jeb Bush,CO,2,15
Jeb Bush,CO,3,15
Ben Carson,CO,1,1
Ben Carson,CO,2,4
Ben Carson,CO,3,9
Chris Christie,CO,1,5
Chris Christie,CO,2,3
Chris Christie,CO,3,7
Ted Cruz,CO,1,14
Ted Cruz,CO,2,1
Ted Cruz,CO,3,2
Carly Fiorina,CO,1,15
Carly Fiorina,CO,2,5
Carly Fiorina,CO,3,15
Jim Gilmore,CO,1,10
Jim Gilmore,CO,2,2
Jim Gilmore,CO,3,6
Lindsey Graham,CO,1,6
Lindsey Graham,CO,2,1
Lindsey Graham,CO,3,12
Mike Huckabee,CO,1,3
Mike Huckabee,CO,2,10
Mike Huckabee,CO,3,7
Bobby Jindal,CO,1,5
Bobby Jindal,CO,2,7
Bobby Jindal,CO,3,11
John Kasich,CO,1,7
John Kasich,CO,2,4
John Kasich,CO,3,11
George Pataki,CO,1,10
George Pataki,CO,2,6
George Pataki,CO,3,14
Rand Paul,CO,1,15
Rand Paul,CO,2,8
Rand Paul,CO,3,4
Marco Rubio,CO,1,4
Marco Rubio,CO,2,9
Marco Rubio,CO,3,8
Rick Santorum,CO,1,7
Rick Santorum,CO,2,2
Rick Santorum,CO,3,9
Donald Trump,CO,1,6
Donald Trump,CO,2,13
Donald Trump,CO,3,8
Jeb Bush,CT,1,13
Jeb Bush,CT,2,13
Jeb Bush,CT,3,12
Ben Carson,CT,1,8
Ben Carson,CT,2,8
Ben Carson,CT,3,5
Chris Christie,CT,1,15
Chris Christie,CT,2,13
Chris Christie,CT,3,13
Ted Cruz,CT,1,14
Ted Cruz,CT,2,3
Ted Cruz,CT,3,6
Carly Fiorina,CT,1,6
Carly Fiorina,CT,2,15
Carly Fiorina,CT,3,4
Jim Gilmore,CT,1,7
Jim Gilmore,CT,2,3
Jim Gilmore,CT,3,10
Lindsey Graham,CT,1,10
Lindsey Graham,CT,2,5
Lindsey Graham,CT,3,14
Mike Huckabee,CT,1,1
Mike Huckabee,CT,2,12
Mike Huckabee,CT,3,7
Bobby Jindal,CT,1,12
Bobby Jindal,CT,2,10
Bobby Jindal,CT,3,15
John Kasich,CT,1,6
John Kasich,CT,2,2
